Start Time: 2025-04-25 09:55:18.664
Export Time: 2025-05-02 19:29:12.363
Min (dBA): 61.3
Max (dBA): 83.4
Peak (dBA): 88.7
Avg (dBA): 70.9
TWA (dBA): 0.0
Dose (%): 0.0

Recorded Value (dBA),Time Stamp (yyyy-MM-dd HH:mm:ss.SSS)
62.3,2025-04-25 09:55:20.063
61.7,2025-04-25 09:55:20.272
62.7,2025-04-25 09:55:20.482
63.2,2025-04-25 09:55:20.693
62.1,2025-04-25 09:55:20.903
63.0,2025-04-25 09:55:21.113
61.8,2025-04-25 09:55:21.323
61.3,2025-04-25 09:55:21.533
63.0,2025-04-25 09:55:21.743
63.7,2025-04-25 09:55:21.952
65.0,2025-04-25 09:55:22.163
65.0,2025-04-25 09:55:22.372
65.0,2025-04-25 09:55:22.583
63.8,2025-04-25 09:55:22.793
63.7,2025-04-25 09:55:23.003
64.8,2025-04-25 09:55:23.213
63.8,2025-04-25 09:55:23.423
63.1,2025-04-25 09:55:23.633
64.1,2025-04-25 09:55:23.843
64.3,2025-04-25 09:55:24.053
64.6,2025-04-25 09:55:24.263
65.4,2025-04-25 09:55:24.473
64.2,2025-04-25 09:55:24.683
63.9,2025-04-25 09:55:24.893
63.3,2025-04-25 09:55:25.103
71.3,2025-04-25 09:55:25.313
65.6,2025-04-25 09:55:25.523
64.9,2025-04-25 09:55:25.733
65.3,2025-04-25 09:55:25.943
65.4,2025-04-25 09:55:26.152
65.7,2025-04-25 09:55:26.362
65.1,2025-04-25 09:55:26.572
64.8,2025-04-25 09:55:26.782
64.2,2025-04-25 09:55:26.992
63.4,2025-04-25 09:55:27.203
63.7,2025-04-25 09:55:27.412
78.4,2025-04-25 09:55:27.622
65.7,2025-04-25 09:55:27.832
64.7,2025-04-25 09:55:28.043
63.7,2025-04-25 09:55:28.253
63.1,2025-04-25 09:55:28.462
63.6,2025-04-25 09:55:28.673
66.4,2025-04-25 09:55:28.882
63.3,2025-04-25 09:55:29.092
63.5,2025-04-25 09:55:29.303
63.4,2025-04-25 09:55:29.512
63.3,2025-04-25 09:55:29.723
64.2,2025-04-25 09:55:29.933
63.6,2025-04-25 09:55:30.143
72.0,2025-04-25 09:55:30.352
64.3,2025-04-25 09:55:30.562
64.6,2025-04-25 09:55:30.772
66.2,2025-04-25 09:55:30.983
62.8,2025-04-25 09:55:31.192
64.3,2025-04-25 09:55:31.402
64.9,2025-04-25 09:55:31.613
67.0,2025-04-25 09:55:31.822
65.6,2025-04-25 09:55:32.032
66.0,2025-04-25 09:55:32.242
64.1,2025-04-25 09:55:32.453
64.6,2025-04-25 09:55:32.663
64.1,2025-04-25 09:55:32.873
65.0,2025-04-25 09:55:33.083
64.0,2025-04-25 09:55:33.292
64.1,2025-04-25 09:55:33.503
64.6,2025-04-25 09:55:33.712
64.0,2025-04-25 09:55:33.922
64.6,2025-04-25 09:55:34.132
65.3,2025-04-25 09:55:34.343
67.7,2025-04-25 09:55:34.553
66.6,2025-04-25 09:55:34.762
64.7,2025-04-25 09:55:34.972
64.4,2025-04-25 09:55:35.183
69.4,2025-04-25 09:55:35.392
79.5,2025-04-25 09:55:35.603
78.7,2025-04-25 09:55:35.812
77.3,2025-04-25 09:55:36.022
66.9,2025-04-25 09:55:36.232
65.8,2025-04-25 09:55:36.442
67.8,2025-04-25 09:55:36.652
67.8,2025-04-25 09:55:36.863
66.1,2025-04-25 09:55:37.073
65.3,2025-04-25 09:55:37.283
64.4,2025-04-25 09:55:37.493
65.9,2025-04-25 09:55:37.702
73.0,2025-04-25 09:55:37.912
65.4,2025-04-25 09:55:38.122
70.8,2025-04-25 09:55:38.332
73.7,2025-04-25 09:55:38.542
68.7,2025-04-25 09:55:38.752
71.4,2025-04-25 09:55:38.963
75.0,2025-04-25 09:55:39.172
70.4,2025-04-25 09:55:39.382
70.8,2025-04-25 09:55:39.592
71.9,2025-04-25 09:55:39.802
74.5,2025-04-25 09:55:40.012
77.0,2025-04-25 09:55:40.222
77.3,2025-04-25 09:55:40.432
78.8,2025-04-25 09:55:40.642
76.4,2025-04-25 09:55:40.852
77.6,2025-04-25 09:55:41.062
77.9,2025-04-25 09:55:41.272
77.2,2025-04-25 09:55:41.482
75.1,2025-04-25 09:55:41.692
