Start Time: 2025-04-21 14:10:26.290
Export Time: 2025-05-02 19:29:51.463
Min (dBA): 62.0
Max (dBA): 89.8
Peak (dBA): 98.9
Avg (dBA): 76.3
TWA (dBA): 40.1
Dose (%): 0.0

Recorded Value (dBA),Time Stamp (yyyy-MM-dd HH:mm:ss.SSS)
68.6,2025-04-21 14:08:29.859
67.0,2025-04-21 14:08:30.069
68.9,2025-04-21 14:08:30.279
66.7,2025-04-21 14:08:30.488
65.6,2025-04-21 14:08:30.698
75.9,2025-04-21 14:08:30.908
63.8,2025-04-21 14:08:31.119
63.6,2025-04-21 14:08:31.329
66.2,2025-04-21 14:08:31.538
66.7,2025-04-21 14:08:31.748
67.0,2025-04-21 14:08:31.958
66.7,2025-04-21 14:08:32.168
66.9,2025-04-21 14:08:32.378
65.9,2025-04-21 14:08:32.588
65.0,2025-04-21 14:08:32.798
64.1,2025-04-21 14:08:33.008
64.9,2025-04-21 14:08:33.218
65.5,2025-04-21 14:08:33.428
65.8,2025-04-21 14:08:33.638
65.7,2025-04-21 14:08:33.848
64.8,2025-04-21 14:08:34.058
64.0,2025-04-21 14:08:34.268
62.9,2025-04-21 14:08:34.478
67.1,2025-04-21 14:08:34.688
68.3,2025-04-21 14:08:34.899
65.6,2025-04-21 14:08:35.108
66.5,2025-04-21 14:08:35.318
66.2,2025-04-21 14:08:35.528
64.9,2025-04-21 14:08:35.738
64.8,2025-04-21 14:08:35.948
64.5,2025-04-21 14:08:36.158
74.4,2025-04-21 14:08:36.368
65.8,2025-04-21 14:08:36.578
63.7,2025-04-21 14:08:36.788
62.1,2025-04-21 14:08:36.998
62.1,2025-04-21 14:08:37.208
62.0,2025-04-21 14:08:37.418
63.9,2025-04-21 14:08:37.628
65.1,2025-04-21 14:08:37.838
65.7,2025-04-21 14:08:38.048
65.8,2025-04-21 14:08:38.258
66.1,2025-04-21 14:08:38.468
66.4,2025-04-21 14:08:38.678
66.1,2025-04-21 14:08:38.888
67.7,2025-04-21 14:08:39.098
68.5,2025-04-21 14:08:39.308
67.9,2025-04-21 14:08:39.518
66.6,2025-04-21 14:08:39.728
66.0,2025-04-21 14:08:39.938
65.9,2025-04-21 14:08:40.148
66.1,2025-04-21 14:08:40.358
67.4,2025-04-21 14:08:40.568
68.2,2025-04-21 14:08:40.778
69.1,2025-04-21 14:08:40.988
68.6,2025-04-21 14:08:41.198
69.2,2025-04-21 14:08:41.408
68.0,2025-04-21 14:08:41.618
66.9,2025-04-21 14:08:41.828
66.4,2025-04-21 14:08:42.038
66.2,2025-04-21 14:08:42.248
66.3,2025-04-21 14:08:42.458
66.3,2025-04-21 14:08:42.668
68.7,2025-04-21 14:08:42.878
69.9,2025-04-21 14:08:43.088
69.0,2025-04-21 14:08:43.298
68.3,2025-04-21 14:08:43.508
68.8,2025-04-21 14:08:43.718
67.0,2025-04-21 14:08:43.928
67.3,2025-04-21 14:08:44.138
67.3,2025-04-21 14:08:44.348
68.2,2025-04-21 14:08:44.558
67.6,2025-04-21 14:08:44.768
68.0,2025-04-21 14:08:44.978
68.2,2025-04-21 14:08:45.188
69.6,2025-04-21 14:08:45.398
68.9,2025-04-21 14:08:45.608
68.6,2025-04-21 14:08:45.818
68.1,2025-04-21 14:08:46.028
68.7,2025-04-21 14:08:46.238
69.7,2025-04-21 14:08:46.448
68.2,2025-04-21 14:08:46.658
67.6,2025-04-21 14:08:46.868
68.0,2025-04-21 14:08:47.078
67.9,2025-04-21 14:08:47.288
67.4,2025-04-21 14:08:47.498
67.3,2025-04-21 14:08:47.708
67.4,2025-04-21 14:08:47.918
67.6,2025-04-21 14:08:48.128
67.6,2025-04-21 14:08:48.338
67.8,2025-04-21 14:08:48.548
67.7,2025-04-21 14:08:48.758
69.6,2025-04-21 14:08:48.968
73.1,2025-04-21 14:08:49.178
73.3,2025-04-21 14:08:49.388
72.1,2025-04-21 14:08:49.598
70.4,2025-04-21 14:08:49.808
73.4,2025-04-21 14:08:50.018
68.0,2025-04-21 14:08:50.228
66.3,2025-04-21 14:08:50.438
65.1,2025-04-21 14:08:50.648
65.4,2025-04-21 14:08:50.858
65.8,2025-04-21 14:08:51.068
65.9,2025-04-21 14:08:51.278
64.7,2025-04-21 14:08:51.488
64.6,2025-04-21 14:08:51.698
64.2,2025-04-21 14:08:51.908
63.8,2025-04-21 14:08:52.118
62.5,2025-04-21 14:08:52.328
62.4,2025-04-21 14:08:52.538
63.0,2025-04-21 14:08:52.748
63.4,2025-04-21 14:08:52.958
62.8,2025-04-21 14:08:53.168
63.3,2025-04-21 14:08:53.378
65.6,2025-04-21 14:08:53.588
66.9,2025-04-21 14:08:53.798
66.0,2025-04-21 14:08:54.008
68.7,2025-04-21 14:08:54.218
72.1,2025-04-21 14:08:54.428
71.8,2025-04-21 14:08:54.638
71.3,2025-04-21 14:08:54.848
69.8,2025-04-21 14:08:55.058
69.8,2025-04-21 14:08:55.268
68.7,2025-04-21 14:08:55.478
68.0,2025-04-21 14:08:55.688
67.7,2025-04-21 14:08:55.898
67.5,2025-04-21 14:08:56.108
66.6,2025-04-21 14:08:56.318
67.1,2025-04-21 14:08:56.528
65.8,2025-04-21 14:08:56.738
66.5,2025-04-21 14:08:56.948
66.1,2025-04-21 14:08:57.158
65.5,2025-04-21 14:08:57.368
65.0,2025-04-21 14:08:57.578
65.3,2025-04-21 14:08:57.788
65.1,2025-04-21 14:08:57.998
67.3,2025-04-21 14:08:58.208
