Start Time: 2025-04-21 19:16:47.463
Export Time: 2025-05-02 19:29:30.709
Min (dBA): 56.5
Max (dBA): 76.1
Peak (dBA): 85.1
Avg (dBA): 65.6
TWA (dBA): 0.0
Dose (%): 0.0

Recorded Value (dBA),Time Stamp (yyyy-MM-dd HH:mm:ss.SSS)
66.3,2025-04-21 19:16:47.697
67.9,2025-04-21 19:16:47.907
67.8,2025-04-21 19:16:48.117
66.6,2025-04-21 19:16:48.327
66.8,2025-04-21 19:16:48.537
66.9,2025-04-21 19:16:48.747
66.5,2025-04-21 19:16:48.957
66.8,2025-04-21 19:16:49.167
66.3,2025-04-21 19:16:49.377
68.2,2025-04-21 19:16:49.587
68.2,2025-04-21 19:16:49.797
67.3,2025-04-21 19:16:50.007
67.8,2025-04-21 19:16:50.217
67.8,2025-04-21 19:16:50.427
68.5,2025-04-21 19:16:50.637
68.4,2025-04-21 19:16:50.847
68.3,2025-04-21 19:16:51.057
68.2,2025-04-21 19:16:51.267
68.8,2025-04-21 19:16:51.477
69.1,2025-04-21 19:16:51.687
68.7,2025-04-21 19:16:51.897
68.8,2025-04-21 19:16:52.107
68.6,2025-04-21 19:16:52.317
68.2,2025-04-21 19:16:52.527
68.1,2025-04-21 19:16:52.737
68.2,2025-04-21 19:16:52.947
68.1,2025-04-21 19:16:53.157
68.1,2025-04-21 19:16:53.367
67.7,2025-04-21 19:16:53.577
66.7,2025-04-21 19:16:53.787
67.1,2025-04-21 19:16:53.997
66.6,2025-04-21 19:16:54.207
66.4,2025-04-21 19:16:54.417
67.5,2025-04-21 19:16:54.627
67.0,2025-04-21 19:16:54.837
67.8,2025-04-21 19:16:55.047
66.4,2025-04-21 19:16:55.257
66.6,2025-04-21 19:16:55.467
65.6,2025-04-21 19:16:55.677
65.6,2025-04-21 19:16:55.887
65.0,2025-04-21 19:16:56.097
65.9,2025-04-21 19:16:56.307
65.8,2025-04-21 19:16:56.517
64.2,2025-04-21 19:16:56.727
64.0,2025-04-21 19:16:56.937
65.2,2025-04-21 19:16:57.147
69.2,2025-04-21 19:16:57.357
68.1,2025-04-21 19:16:57.567
66.9,2025-04-21 19:16:57.777
65.7,2025-04-21 19:16:57.987
65.4,2025-04-21 19:16:58.196
64.5,2025-04-21 19:16:58.407
64.4,2025-04-21 19:16:58.617
64.4,2025-04-21 19:16:58.827
64.7,2025-04-21 19:16:59.037
75.6,2025-04-21 19:16:59.247
72.4,2025-04-21 19:16:59.457
70.5,2025-04-21 19:16:59.667
64.8,2025-04-21 19:16:59.877
64.3,2025-04-21 19:17:00.087
64.8,2025-04-21 19:17:00.296
64.1,2025-04-21 19:17:00.507
64.0,2025-04-21 19:17:00.717
63.7,2025-04-21 19:17:00.927
63.9,2025-04-21 19:17:01.137
63.7,2025-04-21 19:17:01.347
63.5,2025-04-21 19:17:01.557
64.0,2025-04-21 19:17:01.767
64.2,2025-04-21 19:17:01.977
63.5,2025-04-21 19:17:02.187
64.2,2025-04-21 19:17:02.396
63.3,2025-04-21 19:17:02.606
63.9,2025-04-21 19:17:02.817
63.5,2025-04-21 19:17:03.027
63.9,2025-04-21 19:17:03.237
63.5,2025-04-21 19:17:03.447
64.6,2025-04-21 19:17:03.657
63.8,2025-04-21 19:17:03.867
64.1,2025-04-21 19:17:04.077
65.1,2025-04-21 19:17:04.286
63.7,2025-04-21 19:17:04.497
64.3,2025-04-21 19:17:04.706
63.2,2025-04-21 19:17:04.917
62.7,2025-04-21 19:17:05.127
63.1,2025-04-21 19:17:05.337
62.5,2025-04-21 19:17:05.547
63.2,2025-04-21 19:17:05.757
63.5,2025-04-21 19:17:05.967
63.2,2025-04-21 19:17:06.177
62.7,2025-04-21 19:17:06.386
62.2,2025-04-21 19:17:06.596
63.1,2025-04-21 19:17:06.806
65.8,2025-04-21 19:17:07.016
62.9,2025-04-21 19:17:07.226
63.1,2025-04-21 19:17:07.436
62.8,2025-04-21 19:17:07.647
62.8,2025-04-21 19:17:07.856
63.2,2025-04-21 19:17:08.067
64.5,2025-04-21 19:17:08.276
68.0,2025-04-21 19:17:08.486
67.2,2025-04-21 19:17:08.696
65.6,2025-04-21 19:17:08.906
64.2,2025-04-21 19:17:09.116
73.0,2025-04-21 19:17:09.326
75.1,2025-04-21 19:17:09.536
69.4,2025-04-21 19:17:09.746
74.3,2025-04-21 19:17:09.956
67.6,2025-04-21 19:17:10.167
72.0,2025-04-21 19:17:10.376
71.9,2025-04-21 19:17:10.586
67.1,2025-04-21 19:17:10.796
65.4,2025-04-21 19:17:11.006
64.7,2025-04-21 19:17:11.217
73.3,2025-04-21 19:17:11.426
66.9,2025-04-21 19:17:11.636
64.0,2025-04-21 19:17:11.846
62.7,2025-04-21 19:17:12.056
61.1,2025-04-21 19:17:12.267
61.0,2025-04-21 19:17:12.476
60.9,2025-04-21 19:17:12.686
61.0,2025-04-21 19:17:12.896
67.3,2025-04-21 19:17:13.106
62.6,2025-04-21 19:17:13.316
62.3,2025-04-21 19:17:13.526
60.7,2025-04-21 19:17:13.736
62.4,2025-04-21 19:17:13.946
61.3,2025-04-21 19:17:14.156
60.1,2025-04-21 19:17:14.366
61.3,2025-04-21 19:17:14.576
60.2,2025-04-21 19:17:14.786
59.4,2025-04-21 19:17:14.996
60.3,2025-04-21 19:17:15.206
59.7,2025-04-21 19:17:15.416
60.5,2025-04-21 19:17:15.626
61.1,2025-04-21 19:17:15.836
61.2,2025-04-21 19:17:16.046
61.3,2025-04-21 19:17:16.256
60.8,2025-04-21 19:17:16.466
61.7,2025-04-21 19:17:16.676
61.4,2025-04-21 19:17:16.886
62.1,2025-04-21 19:17:17.096
61.0,2025-04-21 19:17:17.306
61.3,2025-04-21 19:17:17.516
61.0,2025-04-21 19:17:17.727
61.6,2025-04-21 19:17:17.936
59.9,2025-04-21 19:17:18.146
60.4,2025-04-21 19:17:18.356
60.1,2025-04-21 19:17:18.566
60.3,2025-04-21 19:17:18.776
60.4,2025-04-21 19:17:18.986
59.4,2025-04-21 19:17:19.196
59.2,2025-04-21 19:17:19.406
59.8,2025-04-21 19:17:19.616
59.3,2025-04-21 19:17:19.826
59.8,2025-04-21 19:17:20.036
60.0,2025-04-21 19:17:20.246
59.4,2025-04-21 19:17:20.456
59.6,2025-04-21 19:17:20.666
59.2,2025-04-21 19:17:20.876
59.1,2025-04-21 19:17:21.086
58.0,2025-04-21 19:17:21.296
59.4,2025-04-21 19:17:21.506
59.4,2025-04-21 19:17:21.716
58.6,2025-04-21 19:17:21.926
59.1,2025-04-21 19:17:22.137
58.7,2025-04-21 19:17:22.346
59.8,2025-04-21 19:17:22.556
59.8,2025-04-21 19:17:22.766
59.0,2025-04-21 19:17:22.976
58.9,2025-04-21 19:17:23.186
59.8,2025-04-21 19:17:23.396
59.8,2025-04-21 19:17:23.606
59.1,2025-04-21 19:17:23.816
61.4,2025-04-21 19:17:24.026
60.2,2025-04-21 19:17:24.236
57.9,2025-04-21 19:17:24.446
57.4,2025-04-21 19:17:24.656
57.8,2025-04-21 19:17:24.866
57.6,2025-04-21 19:17:25.076
58.8,2025-04-21 19:17:25.286
59.9,2025-04-21 19:17:25.496
57.1,2025-04-21 19:17:25.706
56.6,2025-04-21 19:17:25.916
57.4,2025-04-21 19:17:26.126
59.0,2025-04-21 19:17:26.336
59.9,2025-04-21 19:17:26.546
59.6,2025-04-21 19:17:26.756
57.7,2025-04-21 19:17:26.966
56.5,2025-04-21 19:17:27.176
57.7,2025-04-21 19:17:27.386
58.2,2025-04-21 19:17:27.596
57.8,2025-04-21 19:17:27.806
66.8,2025-04-21 19:17:28.016
62.7,2025-04-21 19:17:28.226
67.5,2025-04-21 19:17:28.436
64.9,2025-04-21 19:17:28.646
69.3,2025-04-21 19:17:28.856
65.0,2025-04-21 19:17:29.066
76.1,2025-04-21 19:17:29.276
65.0,2025-04-21 19:17:29.486
64.5,2025-04-21 19:17:29.696
65.4,2025-04-21 19:17:29.906
65.6,2025-04-21 19:17:30.116
59.9,2025-04-21 19:17:30.326
60.6,2025-04-21 19:17:30.536
59.5,2025-04-21 19:17:30.746
60.5,2025-04-21 19:17:30.956
60.7,2025-04-21 19:17:31.166
59.9,2025-04-21 19:17:31.376
63.1,2025-04-21 19:17:31.586
65.2,2025-04-21 19:17:31.796
61.4,2025-04-21 19:17:32.006
61.3,2025-04-21 19:17:32.216
61.4,2025-04-21 19:17:32.426
61.3,2025-04-21 19:17:32.636
61.5,2025-04-21 19:17:32.846
62.2,2025-04-21 19:17:33.056
62.0,2025-04-21 19:17:33.266
63.2,2025-04-21 19:17:33.476
63.8,2025-04-21 19:17:33.686
62.5,2025-04-21 19:17:33.896
62.1,2025-04-21 19:17:34.106
61.8,2025-04-21 19:17:34.316
61.0,2025-04-21 19:17:34.526
60.0,2025-04-21 19:17:34.736
59.8,2025-04-21 19:17:34.946
59.9,2025-04-21 19:17:35.156
59.8,2025-04-21 19:17:35.366
59.5,2025-04-21 19:17:35.576
59.1,2025-04-21 19:17:35.786
59.4,2025-04-21 19:17:35.996
71.1,2025-04-21 19:17:36.206
59.0,2025-04-21 19:17:36.416
60.0,2025-04-21 19:17:36.626
