Start Time: 2025-04-25 10:57:31.541
Export Time: 2025-05-02 19:28:51.619
Min (dBA): 58.8
Max (dBA): 77.8
Peak (dBA): 86.8
Avg (dBA): 70.7
TWA (dBA): 0.0
Dose (%): 0.0

Recorded Value (dBA),Time Stamp (yyyy-MM-dd HH:mm:ss.SSS)
58.8,2025-04-25 10:57:31.790
60.7,2025-04-25 10:57:32.000
60.4,2025-04-25 10:57:32.210
62.9,2025-04-25 10:57:32.420
61.0,2025-04-25 10:57:32.630
60.4,2025-04-25 10:57:32.840
59.4,2025-04-25 10:57:33.050
64.5,2025-04-25 10:57:33.260
59.3,2025-04-25 10:57:33.470
60.6,2025-04-25 10:57:33.679
68.2,2025-04-25 10:57:33.890
60.0,2025-04-25 10:57:34.100
66.3,2025-04-25 10:57:34.310
60.4,2025-04-25 10:57:34.520
62.6,2025-04-25 10:57:34.730
61.4,2025-04-25 10:57:34.940
61.7,2025-04-25 10:57:35.150
61.3,2025-04-25 10:57:35.360
61.7,2025-04-25 10:57:35.570
62.0,2025-04-25 10:57:35.779
64.8,2025-04-25 10:57:35.990
61.9,2025-04-25 10:57:36.199
62.2,2025-04-25 10:57:36.410
62.8,2025-04-25 10:57:36.620
61.8,2025-04-25 10:57:36.830
62.5,2025-04-25 10:57:37.040
62.7,2025-04-25 10:57:37.250
62.3,2025-04-25 10:57:37.460
62.8,2025-04-25 10:57:37.670
62.7,2025-04-25 10:57:37.880
63.4,2025-04-25 10:57:38.090
63.0,2025-04-25 10:57:38.300
63.8,2025-04-25 10:57:38.510
63.9,2025-04-25 10:57:38.720
63.2,2025-04-25 10:57:38.930
62.9,2025-04-25 10:57:39.139
62.9,2025-04-25 10:57:39.350
62.4,2025-04-25 10:57:39.559
61.6,2025-04-25 10:57:39.769
63.1,2025-04-25 10:57:39.979
62.8,2025-04-25 10:57:40.190
68.0,2025-04-25 10:57:40.400
63.4,2025-04-25 10:57:40.610
63.7,2025-04-25 10:57:40.819
64.8,2025-04-25 10:57:41.029
65.3,2025-04-25 10:57:41.240
64.6,2025-04-25 10:57:41.450
63.9,2025-04-25 10:57:41.660
65.5,2025-04-25 10:57:41.870
68.0,2025-04-25 10:57:42.080
70.9,2025-04-25 10:57:42.289
70.0,2025-04-25 10:57:42.500
68.9,2025-04-25 10:57:42.710
66.7,2025-04-25 10:57:42.920
65.8,2025-04-25 10:57:43.130
65.3,2025-04-25 10:57:43.340
64.2,2025-04-25 10:57:43.550
65.3,2025-04-25 10:57:43.760
65.1,2025-04-25 10:57:43.969
64.5,2025-04-25 10:57:44.180
65.4,2025-04-25 10:57:44.390
64.4,2025-04-25 10:57:44.600
65.9,2025-04-25 10:57:44.810
66.1,2025-04-25 10:57:45.019
65.2,2025-04-25 10:57:45.229
65.9,2025-04-25 10:57:45.439
66.2,2025-04-25 10:57:45.650
67.0,2025-04-25 10:57:45.859
67.4,2025-04-25 10:57:46.070
66.6,2025-04-25 10:57:46.280
66.9,2025-04-25 10:57:46.489
66.6,2025-04-25 10:57:46.699
67.7,2025-04-25 10:57:46.910
68.1,2025-04-25 10:57:47.120
67.9,2025-04-25 10:57:47.329
69.2,2025-04-25 10:57:47.539
69.9,2025-04-25 10:57:47.750
70.1,2025-04-25 10:57:47.959
70.2,2025-04-25 10:57:48.169
70.5,2025-04-25 10:57:48.379
70.9,2025-04-25 10:57:48.589
71.9,2025-04-25 10:57:48.799
72.0,2025-04-25 10:57:49.009
74.0,2025-04-25 10:57:49.219
72.9,2025-04-25 10:57:49.429
72.7,2025-04-25 10:57:49.639
72.9,2025-04-25 10:57:49.849
72.7,2025-04-25 10:57:50.059
72.6,2025-04-25 10:57:50.269
72.5,2025-04-25 10:57:50.478
72.9,2025-04-25 10:57:50.689
72.6,2025-04-25 10:57:50.899
73.4,2025-04-25 10:57:51.109
73.3,2025-04-25 10:57:51.319
72.9,2025-04-25 10:57:51.528
72.9,2025-04-25 10:57:51.739
72.3,2025-04-25 10:57:51.948
72.2,2025-04-25 10:57:52.158
72.4,2025-04-25 10:57:52.368
72.5,2025-04-25 10:57:52.578
73.6,2025-04-25 10:57:52.788
72.5,2025-04-25 10:57:52.998
72.8,2025-04-25 10:57:53.208
71.9,2025-04-25 10:57:53.418
72.1,2025-04-25 10:57:53.628
71.9,2025-04-25 10:57:53.838
71.8,2025-04-25 10:57:54.048
72.7,2025-04-25 10:57:54.258
74.4,2025-04-25 10:57:54.467
72.0,2025-04-25 10:57:54.678
71.5,2025-04-25 10:57:54.887
72.6,2025-04-25 10:57:55.097
72.3,2025-04-25 10:57:55.307
73.9,2025-04-25 10:57:55.517
73.7,2025-04-25 10:57:55.727
74.2,2025-04-25 10:57:55.937
73.5,2025-04-25 10:57:56.147
73.0,2025-04-25 10:57:56.357
73.5,2025-04-25 10:57:56.567
75.6,2025-04-25 10:57:56.777
74.9,2025-04-25 10:57:56.987
75.1,2025-04-25 10:57:57.197
75.2,2025-04-25 10:57:57.407
75.2,2025-04-25 10:57:57.617
75.8,2025-04-25 10:57:57.827
76.2,2025-04-25 10:57:58.037
76.3,2025-04-25 10:57:58.247
76.6,2025-04-25 10:57:58.457
76.6,2025-04-25 10:57:58.667
76.9,2025-04-25 10:57:58.876
77.1,2025-04-25 10:57:59.086
75.9,2025-04-25 10:57:59.297
76.7,2025-04-25 10:57:59.507
76.7,2025-04-25 10:57:59.716
76.1,2025-04-25 10:57:59.926
76.0,2025-04-25 10:58:00.136
75.2,2025-04-25 10:58:00.346
73.3,2025-04-25 10:58:00.556
72.0,2025-04-25 10:58:00.766
71.3,2025-04-25 10:58:00.976
70.7,2025-04-25 10:58:01.186
70.8,2025-04-25 10:58:01.396
70.2,2025-04-25 10:58:01.606
70.7,2025-04-25 10:58:01.816
71.5,2025-04-25 10:58:02.026
70.9,2025-04-25 10:58:02.236
70.5,2025-04-25 10:58:02.446
71.5,2025-04-25 10:58:02.656
70.0,2025-04-25 10:58:02.866
68.8,2025-04-25 10:58:03.076
68.9,2025-04-25 10:58:03.286
68.6,2025-04-25 10:58:03.496
67.9,2025-04-25 10:58:03.706
67.7,2025-04-25 10:58:03.916
67.1,2025-04-25 10:58:04.126
67.4,2025-04-25 10:58:04.336
67.3,2025-04-25 10:58:04.546
67.8,2025-04-25 10:58:04.756
67.0,2025-04-25 10:58:04.965
67.0,2025-04-25 10:58:05.175
67.4,2025-04-25 10:58:05.385
67.5,2025-04-25 10:58:05.596
67.3,2025-04-25 10:58:05.805
67.1,2025-04-25 10:58:06.015
67.5,2025-04-25 10:58:06.225
67.2,2025-04-25 10:58:06.436
72.3,2025-04-25 10:58:06.646
68.4,2025-04-25 10:58:06.855
69.0,2025-04-25 10:58:07.065
71.4,2025-04-25 10:58:07.275
69.2,2025-04-25 10:58:07.485
77.8,2025-04-25 10:58:07.695
69.3,2025-04-25 10:58:07.905
69.4,2025-04-25 10:58:08.115
70.4,2025-04-25 10:58:08.325
70.9,2025-04-25 10:58:08.535
70.9,2025-04-25 10:58:08.745
70.9,2025-04-25 10:58:08.955
71.6,2025-04-25 10:58:09.165
71.4,2025-04-25 10:58:09.375
70.9,2025-04-25 10:58:09.585
70.4,2025-04-25 10:58:09.795
70.7,2025-04-25 10:58:10.005
70.8,2025-04-25 10:58:10.215
71.9,2025-04-25 10:58:10.425
73.4,2025-04-25 10:58:10.635
74.4,2025-04-25 10:58:10.845
75.8,2025-04-25 10:58:11.055
75.8,2025-04-25 10:58:11.265
75.5,2025-04-25 10:58:11.475
75.6,2025-04-25 10:58:11.685
75.5,2025-04-25 10:58:11.895
76.1,2025-04-25 10:58:12.105
76.8,2025-04-25 10:58:12.315
76.2,2025-04-25 10:58:12.525
73.8,2025-04-25 10:58:12.735
73.7,2025-04-25 10:58:12.945
74.9,2025-04-25 10:58:13.155
75.3,2025-04-25 10:58:13.365
74.1,2025-04-25 10:58:13.575
71.1,2025-04-25 10:58:13.784
71.2,2025-04-25 10:58:13.995
71.5,2025-04-25 10:58:14.205
72.5,2025-04-25 10:58:14.415
70.2,2025-04-25 10:58:14.625
67.7,2025-04-25 10:58:14.834
67.7,2025-04-25 10:58:15.045
67.1,2025-04-25 10:58:15.254
67.0,2025-04-25 10:58:15.464
67.0,2025-04-25 10:58:15.675
67.7,2025-04-25 10:58:15.884
67.1,2025-04-25 10:58:16.095
66.6,2025-04-25 10:58:16.304
66.7,2025-04-25 10:58:16.514
67.0,2025-04-25 10:58:16.724
68.7,2025-04-25 10:58:16.935
68.1,2025-04-25 10:58:17.144
67.5,2025-04-25 10:58:17.354
67.6,2025-04-25 10:58:17.564
67.6,2025-04-25 10:58:17.774
67.4,2025-04-25 10:58:17.984
67.5,2025-04-25 10:58:18.194
66.6,2025-04-25 10:58:18.404
68.1,2025-04-25 10:58:18.614
67.2,2025-04-25 10:58:18.824
66.9,2025-04-25 10:58:19.034
65.9,2025-04-25 10:58:19.244
64.9,2025-04-25 10:58:19.454
65.6,2025-04-25 10:58:19.664
65.3,2025-04-25 10:58:19.874
65.5,2025-04-25 10:58:20.084
65.0,2025-04-25 10:58:20.294
65.4,2025-04-25 10:58:20.504
65.2,2025-04-25 10:58:20.714
65.3,2025-04-25 10:58:20.924
66.6,2025-04-25 10:58:21.134
64.7,2025-04-25 10:58:21.344
64.2,2025-04-25 10:58:21.554
63.7,2025-04-25 10:58:21.764
63.3,2025-04-25 10:58:21.974
62.7,2025-04-25 10:58:22.184
63.3,2025-04-25 10:58:22.394
62.7,2025-04-25 10:58:22.604
62.8,2025-04-25 10:58:22.814
