SUB_TYPE,FOLDER_NAME,EVENT_MONTH,EVENT_YEAR,AMPLIFIED_SOUND_DISTRICT,CALENDAR_YEAR_FOLDER_CREATED,CAPACITY,DECIBEL_LEVEL,END_HOURS_CONC_POUR_MON_SAT,END_HOURS_MOV_VEH_MON_SAT,END_HOURS_MOV_VEH_SUN,END_HOURS_NEAR_HOME_FRI_SAT,END_HOURS_NEAR_HOME_SUN_THUR,END_HOURS_NOT_NEAR_HOME,EXISTING_ZONING,EXPIRATION_DATE,IN_DATE,ISSUE_DATE,OMV_FRI_END_TIME,OMV_FRI_START_TIME,OMV_MON_END_TIME,OMV_MON_START_TIME,OMV_SAT_END_TIME,OMV_SAT_START_TIME,OMV_SUN_END_TIME,OMV_SUN_START_TIME,OMV_THU_END_TIME,OMV_THU_START_TIME,OMV_TUE_END_TIME,OMV_TUE_START_TIME,OMV_WED_END_TIME,OMV_WED_START_TIME,PROPERTYRSN,REST_51_PERCENT_FOOD_SALES,SQUARE_FOOTAGE,START_DATE,START_DATE_2,START_DATE_3,START_DATE_4,START_HOURS_CONC_POUR_MON_SAT,START_HOURS_MOV_VEH_MON_SAT,START_HOURS_MOV_VEH_SUN,START_HOURS_NEAR_HOME_FRI_SAT,START_HOURS_NEAR_HOME_SUN_THUR,START_HOURS_NOT_NEAR_HOME,STATUS,STREET_ADDRESS,ZIPCODE,LATITUDE,LONGITUDE,COUNCIL_DISTRICT,LOCATION,PERMIT_NUMBER
Outdoor Music Venue,Shady Grove,,,Other,2009,364,85,,,,,,,CS-1 - LIQUOR SALES,,2009-09-09,2009-10-09,10:00 p.m.,,10:00 p.m.,,10:00 p.m.,,10:00 p.m.,,10:00 p.m.,,10:00 p.m.,,10:00 p.m.,,665300,Yes,9549,,,,,,,,,,,Expired,1624  BARTON SPRINGS RD,78704,30.26278314,-97.76201546,9,"(30.26278314,-97.76201546)",2009-101548 SO
Outdoor Music Venue,Shady Grove,,,Other,2011,364,70,,,,,,,CS-1 - LIQUOR SALES,,2011-03-11,2011-04-14,8:30 p.m.,,8:30 p.m.,,8:30 p.m.,,8:30 p.m.,,10:00 p.m.,,8:30 p.m.,,8:30 p.m.,,665300,Yes,9549,,,,,,,,,,,Expired,1624  BARTON SPRINGS RD,78704,30.26278314,-97.76201546,9,"(30.26278314,-97.76201546)",2011-019764 SO
Outdoor Music Venue,Shady Grove Restaurant,,,Other,2012,364,70,,,,,,,CS-1 - LIQUOR SALES,,2012-03-12,2012-04-11,8:00 p.m.,10:00 a.m.,8:00 p.m.,10:00 a.m.,8:00 p.m.,10:00 a.m.,8:00 p.m.,10:00 a.m.,10:00 p.m.,10:00 a.m.,8:00 p.m.,10:00 a.m.,8:00 p.m.,10:00 a.m.,665300,Yes,9549,,,,,,,,,,,Expired,1624  BARTON SPRINGS RD,78704,30.26278314,-97.76201546,9,"(30.26278314,-97.76201546)",2012-024007 SO
Government Amplified Sound,October Jamaica,OCTOBER,2012,Other,2012,,85,,,,,10:00pm,,GO - GENERAL OFFICE,2012-10-14,2012-10-10,2012-10-11,,,,,,,,,,,,,,,322280,,,2012-10-14,,,,,,,,10:00am,,Expired,2205  2ND HALF ST,78702,30.25681217,-97.71974338,3,"(30.25681217,-97.71974338)",2012-102896 SO
Outdoor Music Venue,Hyde Park Bar & Grill (South),,,Other,2010,143,70,,,,,,,CS - GENERAL COMMERCIAL,,2010-04-01,2010-05-20,Midnight,,10:30 p.m.,,Midnight,,10:30 p.m.,,11:00 p.m.,,10:30 p.m.,,10:30 p.m.,,155487,Yes,5700,,,,,,,,,,,Expired,4521  WEST GATE BLVD,78745,30.23168564,-97.8001289,5,"(30.23168564,-97.8001289)",2010-027502 SO
Outdoor Music Venue,Original Hoffbrau dba Rustic Tap,,,Other,2021,See Load Cards,70,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2021-12-10,2022-03-07,12:00AM,10:00AM,10:30PM,10:00AM,12:00AM,10:00AM,10:30PM,10:00AM,11:00PM,10:00AM,10:30PM,10:00AM,10:30PM,10:00AM,128828,Yes,2447,,,,,,,,,,,Expired,613  6TH ST,78701,30.26957943,-97.74917603,9,"(30.26957943,-97.74917603)",2021-199823 SO
Outdoor Music Venue,Original Hoffbrau dba Rustic Tap,,,Other,2023,See Load Cards,70,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2023-04-13,2023-05-18,12:00AM,10:00AM,10:30PM,10:00AM,12:00AM,10:00AM,10:30PM,10:00AM,11:00PM,10:00AM,10:30PM,10:00AM,10:30PM,10:00AM,128828,Yes,2447,,,,,,,,,,,Expired,613  6TH ST,78701,30.26957943,-97.74917603,9,"(30.26957943,-97.74917603)",2023-045325 SO
Outdoor Music Venue,Original Hoffbrau dba Rustic Tap,,,Other,2024,See Load Cards,70,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2024-05-28,2024-07-31,12:00AM,10:00AM,10:30PM,10:00AM,12:00AM,10:00AM,10:30PM,10:00AM,11:00PM,10:00AM,10:30PM,10:00AM,10:30PM,10:00AM,128828,Yes,2447,,,,,,,,,,,Approved,613  6TH ST,78701,30.26957943,-97.74917603,9,"(30.26957943,-97.74917603)",2024-066841 SO
Outdoor Music Venue,The Ranch,,,Other,2010,299,85,,,,,,,GR - COMMUNITY COMMERCIAL,,2010-02-09,2010-03-11,Midnight,,10:00 p.m.,,Midnight,,10:00 p.m.,,11:00 p.m.,,10:00 p.m.,,10:00 p.m.,,428210,No,4708,,,,,,,,,,,Expired,706  6TH ST,78701,30.270216,-97.74991945,9,"(30.270216,-97.74991945)",2010-010746 SO
Outdoor Music Venue,The Blind Pig Pub,,,6th Street District,2010,185,85,,,,,,,CBD - CENTRAL BUSINESS DISTRICT,,2010-02-09,2010-03-11,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,2:00 a.m.,,166760,No,2700,,,,,,,,,,,Expired,317  6TH ST,78701,30.2670305,-97.73981484,9,"(30.2670305,-97.73981484)",2010-010762 SO
