Recorded.Value..dBA.,Date,Time,location
66.3,2025-04-21,19:16:47.697,7pm_food_truck
67.9,2025-04-21,19:16:47.907,7pm_food_truck
67.8,2025-04-21,19:16:48.117,7pm_food_truck
66.6,2025-04-21,19:16:48.327,7pm_food_truck
66.8,2025-04-21,19:16:48.537,7pm_food_truck
66.9,2025-04-21,19:16:48.747,7pm_food_truck
66.5,2025-04-21,19:16:48.957,7pm_food_truck
66.8,2025-04-21,19:16:49.167,7pm_food_truck
66.3,2025-04-21,19:16:49.377,7pm_food_truck
68.2,2025-04-21,19:16:49.587,7pm_food_truck
68.2,2025-04-21,19:16:49.797,7pm_food_truck
67.3,2025-04-21,19:16:50.007,7pm_food_truck
67.8,2025-04-21,19:16:50.217,7pm_food_truck
67.8,2025-04-21,19:16:50.427,7pm_food_truck
68.5,2025-04-21,19:16:50.637,7pm_food_truck
68.4,2025-04-21,19:16:50.847,7pm_food_truck
68.3,2025-04-21,19:16:51.057,7pm_food_truck
68.2,2025-04-21,19:16:51.267,7pm_food_truck
68.8,2025-04-21,19:16:51.477,7pm_food_truck
69.1,2025-04-21,19:16:51.687,7pm_food_truck
68.7,2025-04-21,19:16:51.897,7pm_food_truck
68.8,2025-04-21,19:16:52.107,7pm_food_truck
68.6,2025-04-21,19:16:52.317,7pm_food_truck
68.2,2025-04-21,19:16:52.527,7pm_food_truck
68.1,2025-04-21,19:16:52.737,7pm_food_truck
68.2,2025-04-21,19:16:52.947,7pm_food_truck
68.1,2025-04-21,19:16:53.157,7pm_food_truck
68.1,2025-04-21,19:16:53.367,7pm_food_truck
67.7,2025-04-21,19:16:53.577,7pm_food_truck
66.7,2025-04-21,19:16:53.787,7pm_food_truck
67.1,2025-04-21,19:16:53.997,7pm_food_truck
66.6,2025-04-21,19:16:54.207,7pm_food_truck
66.4,2025-04-21,19:16:54.417,7pm_food_truck
67.5,2025-04-21,19:16:54.627,7pm_food_truck
67.0,2025-04-21,19:16:54.837,7pm_food_truck
67.8,2025-04-21,19:16:55.047,7pm_food_truck
66.4,2025-04-21,19:16:55.257,7pm_food_truck
66.6,2025-04-21,19:16:55.467,7pm_food_truck
65.6,2025-04-21,19:16:55.677,7pm_food_truck
65.6,2025-04-21,19:16:55.887,7pm_food_truck
65.0,2025-04-21,19:16:56.097,7pm_food_truck
65.9,2025-04-21,19:16:56.307,7pm_food_truck
65.8,2025-04-21,19:16:56.517,7pm_food_truck
64.2,2025-04-21,19:16:56.727,7pm_food_truck
64.0,2025-04-21,19:16:56.937,7pm_food_truck
65.2,2025-04-21,19:16:57.147,7pm_food_truck
69.2,2025-04-21,19:16:57.357,7pm_food_truck
68.1,2025-04-21,19:16:57.567,7pm_food_truck
66.9,2025-04-21,19:16:57.777,7pm_food_truck
65.7,2025-04-21,19:16:57.987,7pm_food_truck
65.4,2025-04-21,19:16:58.196,7pm_food_truck
64.5,2025-04-21,19:16:58.407,7pm_food_truck
64.4,2025-04-21,19:16:58.617,7pm_food_truck
64.4,2025-04-21,19:16:58.827,7pm_food_truck
64.7,2025-04-21,19:16:59.037,7pm_food_truck
75.6,2025-04-21,19:16:59.247,7pm_food_truck
72.4,2025-04-21,19:16:59.457,7pm_food_truck
70.5,2025-04-21,19:16:59.667,7pm_food_truck
64.8,2025-04-21,19:16:59.877,7pm_food_truck
64.3,2025-04-21,19:17:00.087,7pm_food_truck
64.8,2025-04-21,19:17:00.296,7pm_food_truck
64.1,2025-04-21,19:17:00.507,7pm_food_truck
64.0,2025-04-21,19:17:00.717,7pm_food_truck
63.7,2025-04-21,19:17:00.927,7pm_food_truck
63.9,2025-04-21,19:17:01.137,7pm_food_truck
63.7,2025-04-21,19:17:01.347,7pm_food_truck
63.5,2025-04-21,19:17:01.557,7pm_food_truck
64.0,2025-04-21,19:17:01.767,7pm_food_truck
64.2,2025-04-21,19:17:01.977,7pm_food_truck
63.5,2025-04-21,19:17:02.187,7pm_food_truck
64.2,2025-04-21,19:17:02.396,7pm_food_truck
63.3,2025-04-21,19:17:02.606,7pm_food_truck
63.9,2025-04-21,19:17:02.817,7pm_food_truck
63.5,2025-04-21,19:17:03.027,7pm_food_truck
63.9,2025-04-21,19:17:03.237,7pm_food_truck
63.5,2025-04-21,19:17:03.447,7pm_food_truck
64.6,2025-04-21,19:17:03.657,7pm_food_truck
63.8,2025-04-21,19:17:03.867,7pm_food_truck
64.1,2025-04-21,19:17:04.077,7pm_food_truck
65.1,2025-04-21,19:17:04.286,7pm_food_truck
63.7,2025-04-21,19:17:04.497,7pm_food_truck
64.3,2025-04-21,19:17:04.706,7pm_food_truck
63.2,2025-04-21,19:17:04.917,7pm_food_truck
62.7,2025-04-21,19:17:05.127,7pm_food_truck
63.1,2025-04-21,19:17:05.337,7pm_food_truck
62.5,2025-04-21,19:17:05.547,7pm_food_truck
63.2,2025-04-21,19:17:05.757,7pm_food_truck
63.5,2025-04-21,19:17:05.967,7pm_food_truck
63.2,2025-04-21,19:17:06.177,7pm_food_truck
62.7,2025-04-21,19:17:06.386,7pm_food_truck
62.2,2025-04-21,19:17:06.596,7pm_food_truck
63.1,2025-04-21,19:17:06.806,7pm_food_truck
65.8,2025-04-21,19:17:07.016,7pm_food_truck
62.9,2025-04-21,19:17:07.226,7pm_food_truck
63.1,2025-04-21,19:17:07.436,7pm_food_truck
62.8,2025-04-21,19:17:07.647,7pm_food_truck
62.8,2025-04-21,19:17:07.856,7pm_food_truck
63.2,2025-04-21,19:17:08.067,7pm_food_truck
64.5,2025-04-21,19:17:08.276,7pm_food_truck
68.0,2025-04-21,19:17:08.486,7pm_food_truck
67.2,2025-04-21,19:17:08.696,7pm_food_truck
65.6,2025-04-21,19:17:08.906,7pm_food_truck
64.2,2025-04-21,19:17:09.116,7pm_food_truck
73.0,2025-04-21,19:17:09.326,7pm_food_truck
75.1,2025-04-21,19:17:09.536,7pm_food_truck
69.4,2025-04-21,19:17:09.746,7pm_food_truck
74.3,2025-04-21,19:17:09.956,7pm_food_truck
67.6,2025-04-21,19:17:10.167,7pm_food_truck
72.0,2025-04-21,19:17:10.376,7pm_food_truck
71.9,2025-04-21,19:17:10.586,7pm_food_truck
67.1,2025-04-21,19:17:10.796,7pm_food_truck
65.4,2025-04-21,19:17:11.006,7pm_food_truck
64.7,2025-04-21,19:17:11.217,7pm_food_truck
73.3,2025-04-21,19:17:11.426,7pm_food_truck
66.9,2025-04-21,19:17:11.636,7pm_food_truck
64.0,2025-04-21,19:17:11.846,7pm_food_truck
62.7,2025-04-21,19:17:12.056,7pm_food_truck
61.1,2025-04-21,19:17:12.267,7pm_food_truck
61.0,2025-04-21,19:17:12.476,7pm_food_truck
60.9,2025-04-21,19:17:12.686,7pm_food_truck
61.0,2025-04-21,19:17:12.896,7pm_food_truck
67.3,2025-04-21,19:17:13.106,7pm_food_truck
62.6,2025-04-21,19:17:13.316,7pm_food_truck
62.3,2025-04-21,19:17:13.526,7pm_food_truck
60.7,2025-04-21,19:17:13.736,7pm_food_truck
62.4,2025-04-21,19:17:13.946,7pm_food_truck
61.3,2025-04-21,19:17:14.156,7pm_food_truck
60.1,2025-04-21,19:17:14.366,7pm_food_truck
61.3,2025-04-21,19:17:14.576,7pm_food_truck
60.2,2025-04-21,19:17:14.786,7pm_food_truck
59.4,2025-04-21,19:17:14.996,7pm_food_truck
60.3,2025-04-21,19:17:15.206,7pm_food_truck
59.7,2025-04-21,19:17:15.416,7pm_food_truck
60.5,2025-04-21,19:17:15.626,7pm_food_truck
61.1,2025-04-21,19:17:15.836,7pm_food_truck
61.2,2025-04-21,19:17:16.046,7pm_food_truck
61.3,2025-04-21,19:17:16.256,7pm_food_truck
60.8,2025-04-21,19:17:16.466,7pm_food_truck
61.7,2025-04-21,19:17:16.676,7pm_food_truck
61.4,2025-04-21,19:17:16.886,7pm_food_truck
62.1,2025-04-21,19:17:17.096,7pm_food_truck
61.0,2025-04-21,19:17:17.306,7pm_food_truck
61.3,2025-04-21,19:17:17.516,7pm_food_truck
