Start Time: 2025-05-01 10:29:13.152
Export Time: 2025-05-02 19:27:30.376
Min (dBA): 57.8
Max (dBA): 84.6
Peak (dBA): 93.8
Avg (dBA): 71.0
TWA (dBA): 0.0
Dose (%): 0.0

Recorded Value (dBA),Time Stamp (yyyy-MM-dd HH:mm:ss.SSS)
64.1,29:14.1
63.6,29:14.3
62.7,29:14.5
63.1,29:14.8
63.7,29:15.0
63.2,29:15.2
84.3,29:15.4
71.8,29:15.6
63.6,29:15.8
64.3,29:16.0
64.1,29:16.2
63.1,29:16.4
62.4,29:16.6
62.2,29:16.9
64.5,29:17.1
65.1,29:17.3
64.8,29:17.5
64.6,29:17.7
61.4,29:17.9
62.1,29:18.1
59.5,29:18.3
62,29:18.5
62.7,29:18.7
60.2,29:19.0
65.6,29:19.2
61.3,29:19.4
59.1,29:19.6
59.8,29:19.8
60.9,29:20.0
60,29:20.2
59.8,29:20.4
59.7,29:20.6
59.4,29:20.8
59.6,29:21.1
58.7,29:21.3
59.2,29:21.5
59.4,29:21.7
58.9,29:21.9
59.2,29:22.1
58.8,29:22.3
58.8,29:22.5
59.8,29:22.7
59.3,29:22.9
59.3,29:23.2
57.8,29:23.4
58.5,29:23.6
58.6,29:23.8
58.7,29:24.0
59.2,29:24.2
58.7,29:24.4
71.3,29:24.6
59.9,29:24.8
59.9,29:25.0
70.4,29:25.3
59.5,29:25.5
60,29:25.7
61.4,29:25.9
73.2,29:26.1
60.6,29:26.3
61.1,29:26.5
64.4,29:26.7
61.3,29:26.9
60.9,29:27.1
62.1,29:27.4
61.3,29:27.6
61.2,29:27.8
64.2,29:28.0
62,29:28.2
61.9,29:28.4
61.4,29:28.6
61.6,29:28.8
61.6,29:29.0
61.5,29:29.2
62.2,29:29.5
60.5,29:29.7
76.9,29:29.9
62.5,29:30.1
61,29:30.3
61.3,29:30.5
60.3,29:30.7
60.5,29:30.9
59.8,29:31.1
70.7,29:31.3
60.1,29:31.6
60.5,29:31.8
60.8,29:32.0
60.8,29:32.2
71.7,29:32.4
61.6,29:32.6
60.7,29:32.8
60.8,29:33.0
61.2,29:33.2
61.4,29:33.4
61,29:33.7
61.2,29:33.9
61.1,29:34.1
61.9,29:34.3
60.6,29:34.5
78.6,29:34.7
61.1,29:34.9
70.4,29:35.1
62.4,29:35.3
62.3,29:35.5
66.3,29:35.8
62.3,29:36.0
64.9,29:36.2
63.8,29:36.4
63.7,29:36.6
62.3,29:36.8
61.7,29:37.0
63,29:37.2
63.1,29:37.4
62.4,29:37.6
63,29:37.9
62,29:38.1
62.2,29:38.3
62.3,29:38.5
60.4,29:38.7
61.7,29:38.9
61.3,29:39.1
61.6,29:39.3
61,29:39.5
61.1,29:39.7
60.7,29:40.0
61.6,29:40.2
62.5,29:40.4
61.6,29:40.6
61.5,29:40.8
61.3,29:41.0
63.5,29:41.2
62.5,29:41.4
61.8,29:41.6
61.9,29:41.8
68.6,29:42.1
61.4,29:42.3
64.9,29:42.5
64.1,29:42.7
70.4,29:42.9
68.7,29:43.1
63.5,29:43.3
63.9,29:43.5
61.6,29:43.7
61.4,29:43.9
61.4,29:44.2
62.3,29:44.4
61.8,29:44.6
61.5,29:44.8
61.6,29:45.0
61.5,29:45.2
68.5,29:45.4
62.4,29:45.6
67.4,29:45.8
62.3,29:46.0
67,29:46.3
67.2,29:46.5
69.8,29:46.7
63.3,29:46.9
62.1,29:47.1
62.4,29:47.3
62.6,29:47.5
61.7,29:47.7
64.5,29:47.9
63.5,29:48.1
64.9,29:48.4
61.8,29:48.6
62.3,29:48.8
68.5,29:49.0
61.8,29:49.2
62.3,29:49.4
61.9,29:49.6
62.1,29:49.8
62.1,29:50.0
62.8,29:50.2
62.4,29:50.5
62.9,29:50.7
65.6,29:50.9
63.3,29:51.1
64.1,29:51.3
63.5,29:51.5
63.8,29:51.7
65.4,29:51.9
65.8,29:52.1
66.9,29:52.3
65.9,29:52.6
65.9,29:52.8
66.9,29:53.0
67,29:53.2
66.8,29:53.4
65.9,29:53.6
66.3,29:53.8
67.3,29:54.0
65.2,29:54.2
65.8,29:54.4
65.4,29:54.7
64.5,29:54.9
65.5,29:55.1
64.6,29:55.3
64,29:55.5
64.4,29:55.7
67.9,29:55.9
64.6,29:56.1
68.3,29:56.3
63.6,29:56.5
63.5,29:56.8
72.6,29:57.0
70.8,29:57.2
63.3,29:57.4
63.1,29:57.6
64,29:57.8
65.8,29:58.0
64.8,29:58.2
63.9,29:58.4
64.1,29:58.6
65.5,29:58.9
66,29:59.1
69.3,29:59.3
68.4,29:59.5
73.9,29:59.7
64.1,29:59.9
63.3,30:00.1
63.4,30:00.3
63.9,30:00.5
63.2,30:00.7
63.2,30:01.0
62.5,30:01.2
63.7,30:01.4
63.8,30:01.6
62.4,30:01.8
62.1,30:02.0
63.1,30:02.2
64.2,30:02.4
62,30:02.6
62.2,30:02.8
62.4,30:03.1
63.1,30:03.3
62.1,30:03.5
62.9,30:03.7
62.7,30:03.9
62.7,30:04.1
62.7,30:04.3
62,30:04.5
64.2,30:04.7
62.8,30:04.9
64,30:05.2
67.9,30:05.4
64.7,30:05.6
65.8,30:05.8
65,30:06.0
64.8,30:06.2
65.3,30:06.4
70.1,30:06.6
65.5,30:06.8
65.4,30:07.0
66.3,30:07.3
66.7,30:07.5
66.5,30:07.7
65.7,30:07.9
65.6,30:08.1
64.6,30:08.3
65.3,30:08.5
64.3,30:08.7
65.6,30:08.9
65.3,30:09.1
65.6,30:09.4
65.3,30:09.6
73,30:09.8
68.2,30:10.0
69.9,30:10.2
68.8,30:10.4
68.6,30:10.6
69.9,30:10.8
69.6,30:11.0
69.6,30:11.2
68.6,30:11.5
70.4,30:11.7
80.2,30:11.9
70.9,30:12.1
69.7,30:12.3
71.8,30:12.5
71.6,30:12.7
70.1,30:12.9
69.8,30:13.1
70.1,30:13.3
70.3,30:13.6
71.3,30:13.8
71.5,30:14.0
72.6,30:14.2
70.7,30:14.4
69.6,30:14.6
70.8,30:14.8
71.5,30:15.0
73,30:15.2
71.9,30:15.4
73.1,30:15.7
72.1,30:15.9
80.8,30:16.1
83.8,30:16.3
71,30:16.5
71.9,30:16.7
72.5,30:16.9
73.7,30:17.1
84.6,30:17.3
81.1,30:17.5
75.4,30:17.8
76.3,30:18.0
79,30:18.2
82.1,30:18.4
82.8,30:18.6
83.3,30:18.8
81.7,30:19.0
80.9,30:19.2
79.3,30:19.4
78.9,30:19.6
77.5,30:19.9
76.6,30:20.1
75.6,30:20.3
76,30:20.5
74.8,30:20.7
74.8,30:20.9
73.7,30:21.1
74.3,30:21.3
72.8,30:21.5
73.1,30:21.7
73,30:22.0
72.3,30:22.2
72.6,30:22.4
72.6,30:22.6
72.6,30:22.8
72.7,30:23.0
72.7,30:23.2
72.2,30:23.4
72.8,30:23.6
72.7,30:23.8
72.1,30:24.1
72.4,30:24.3
72.3,30:24.5
72.4,30:24.7
74,30:24.9
72.6,30:25.1
72.3,30:25.3
72.4,30:25.5
72.6,30:25.7
72,30:25.9
71.5,30:26.2
71.9,30:26.4
71.1,30:26.6
70.8,30:26.8
70.6,30:27.0
71.3,30:27.2
73.3,30:27.4
70.6,30:27.6
70.5,30:27.8
70.2,30:28.0
69.3,30:28.3
69.2,30:28.5
68.5,30:28.7
68.8,30:28.9
68.9,30:29.1
69.5,30:29.3
73.1,30:29.5
68.8,30:29.7
78.9,30:29.9
69.2,30:30.1
70,30:30.4
70.3,30:30.6
69.5,30:30.8
68.3,30:31.0
68,30:31.2
68.2,30:31.4
69.4,30:31.6
69.9,30:31.8
69.8,30:32.0
69.7,30:32.2
68.8,30:32.5
68.8,30:32.7
69,30:32.9
68.6,30:33.1
68.1,30:33.3
67.9,30:33.5
68.1,30:33.7
67.5,30:33.9
67,30:34.1
66.9,30:34.3
67.3,30:34.6
68.7,30:34.8
70.1,30:35.0
68.1,30:35.2
67.4,30:35.4
67.9,30:35.6
67.6,30:35.8
67.5,30:36.0
66.8,30:36.2
66.8,30:36.4
67.9,30:36.7
67.7,30:36.9
68,30:37.1
68,30:37.3
68.3,30:37.5
68.4,30:37.7
68.6,30:37.9
69.9,30:38.1
70,30:38.3
70.3,30:38.5
69.1,30:38.8
69.5,30:39.0
70.6,30:39.2
71.4,30:39.4
72.4,30:39.6
71.7,30:39.8
70,30:40.0
71.4,30:40.2
70.2,30:40.4
70.7,30:40.6
68.8,30:40.9
76.7,30:41.1
70.6,30:41.3
67.7,30:41.5
67.9,30:41.7
68,30:41.9
67.4,30:42.1
67.5,30:42.3
67.9,30:42.5
67.9,30:42.7
69,30:43.0
73.5,30:43.2
73.3,30:43.4
74.2,30:43.6
71,30:43.8
70.2,30:44.0
69.3,30:44.2
70.1,30:44.4
70.6,30:44.6
71.6,30:44.8
70,30:45.1
70.4,30:45.3
71.9,30:45.5
75.4,30:45.7
73.3,30:45.9
71.4,30:46.1
70.4,30:46.3
73.9,30:46.5
74,30:46.7
71.9,30:46.9
70.3,30:47.2
71.3,30:47.4
71.6,30:47.6
74,30:47.8
73.6,30:48.0
71.8,30:48.2
71.6,30:48.4
71.9,30:48.6
71.5,30:48.8
72.5,30:49.0
73.8,30:49.3
72.5,30:49.5
69.8,30:49.7
69.7,30:49.9
69.2,30:50.1
76.2,30:50.3
71.8,30:50.5
70.4,30:50.7
70.3,30:50.9
71.3,30:51.1
71.8,30:51.4
73,30:51.6
73.4,30:51.8
72.1,30:52.0
71.4,30:52.2
72,30:52.4
73.2,30:52.6
72.9,30:52.8
73.8,30:53.0
71.8,30:53.2
71.3,30:53.5
72,30:53.7
72.8,30:53.9
74.6,30:54.1
75.7,30:54.3
72.7,30:54.5
72.8,30:54.7
72.7,30:54.9
72.6,30:55.1
71.7,30:55.3
72.2,30:55.6
72.2,30:55.8
72,30:56.0
70.5,30:56.2
74.5,30:56.4
75.6,30:56.6
72.5,30:56.8
71.9,30:57.0
71.8,30:57.2
71.5,30:57.4
79.1,30:57.7
77.2,30:57.9
77,30:58.1
75.2,30:58.3
70.8,30:58.5
71.1,30:58.7
70.8,30:58.9
74,30:59.1
82.2,30:59.3
81.4,30:59.5
80.5,30:59.8
77.6,31:00.0
70.5,31:00.2
71.6,31:00.4
70.5,31:00.6
70.8,31:00.8
77.5,31:01.0
75.8,31:01.2
76.9,31:01.4
75,31:01.6
70.4,31:01.9
70.9,31:02.1
74.5,31:02.3
70.5,31:02.5
70,31:02.7
70.1,31:02.9
69.8,31:03.1
69.8,31:03.3
69.2,31:03.5
68.5,31:03.7
68.5,31:04.0
68.2,31:04.2
68,31:04.4
67.7,31:04.6
67.8,31:04.8
70.1,31:05.0
73.8,31:05.2
74.3,31:05.4
70.5,31:05.6
68.8,31:05.8
68.6,31:06.1
69.2,31:06.3
69.3,31:06.5
68.8,31:06.7
68.9,31:06.9
68.9,31:07.1
68.3,31:07.3
67.9,31:07.5
68.4,31:07.7
68.2,31:07.9
68.4,31:08.2
67.7,31:08.4
67.8,31:08.6
67.8,31:08.8
67.2,31:09.0
67.7,31:09.2
68.1,31:09.4
67.4,31:09.6
71,31:09.8
66.9,31:10.0
65.7,31:10.3
65.8,31:10.5
65,31:10.7
64.6,31:10.9
65,31:11.1
65.4,31:11.3
65.3,31:11.5
66,31:11.7
67.1,31:11.9
65.2,31:12.1
65.8,31:12.4
64.6,31:12.6
64.8,31:12.8
65,31:13.0
64.5,31:13.2
62.7,31:13.4
62.8,31:13.6
63.5,31:13.8
64.6,31:14.0
64.7,31:14.2
66.3,31:14.5
64.5,31:14.7
63.4,31:14.9
63.4,31:15.1
64.2,31:15.3
64.2,31:15.5
64.5,31:15.7
63.8,31:15.9
63.1,31:16.1
63.2,31:16.3
63,31:16.6
63.6,31:16.8
63.2,31:17.0
63.3,31:17.2
63.5,31:17.4
63.7,31:17.6
64.1,31:17.8
64.7,31:18.0
64.6,31:18.2
63.3,31:18.4
63.4,31:18.7
64.3,31:18.9
63.9,31:19.1
63.9,31:19.3
62.7,31:19.5
64.7,31:19.7
66,31:19.9
64.1,31:20.1
63.4,31:20.3
64.5,31:20.5
63.4,31:20.8
63,31:21.0
63.1,31:21.2
63.6,31:21.4
63.7,31:21.6
62.3,31:21.8
64,31:22.0
61.6,31:22.2
62.5,31:22.4
63,31:22.6
62.9,31:22.9
63.1,31:23.1
63.3,31:23.3
62.6,31:23.5
63.7,31:23.7
63.2,31:23.9
62.6,31:24.1
62.6,31:24.3
64.1,31:24.5
64.2,31:24.7
64.1,31:25.0
63.6,31:25.2
63.1,31:25.4
63.5,31:25.6
64.6,31:25.8
64.2,31:26.0
63.9,31:26.2
63.6,31:26.4
65.4,31:26.6
63,31:26.8
63.5,31:27.1
62.8,31:27.3
63.5,31:27.5
62.3,31:27.7
63.1,31:27.9
62.2,31:28.1
63.6,31:28.3
61.8,31:28.5
62.9,31:28.7
62.4,31:28.9
63.2,31:29.2
63.7,31:29.4
62.7,31:29.6
62.8,31:29.8
62.4,31:30.0
62.5,31:30.2
62.9,31:30.4
62.5,31:30.6
62.9,31:30.8
63.5,31:31.0
62.6,31:31.3
63.1,31:31.5
63,31:31.7
63.9,31:31.9
64.5,31:32.1
63.5,31:32.3
63.1,31:32.5
64.2,31:32.7
64.6,31:32.9
63.6,31:33.1
64.6,31:33.4
65.3,31:33.6
63.5,31:33.8
63.9,31:34.0
64.5,31:34.2
64.6,31:34.4
64.7,31:34.6
63.8,31:34.8
64.1,31:35.0
63.9,31:35.2
63.7,31:35.5
64.5,31:35.7
64,31:35.9
70,31:36.1
64.7,31:36.3
64.6,31:36.5
66,31:36.7
65.6,31:36.9
65.1,31:37.1
64.8,31:37.3
67.2,31:37.6
68.5,31:37.8
71.5,31:38.0
69.3,31:38.2
67.4,31:38.4
64.8,31:38.6
64,31:38.8
63.7,31:39.0
63.5,31:39.2
73.6,31:39.4
64.5,31:39.7
63.9,31:39.9
63.3,31:40.1
68.7,31:40.3
63.7,31:40.5
65.6,31:40.7
63.9,31:40.9
65.9,31:41.1
65.7,31:41.3
64.6,31:41.5
65.8,31:41.8
65.8,31:42.0
65.5,31:42.2
67.2,31:42.4
64.9,31:42.6
65.2,31:42.8
63.9,31:43.0
64.1,31:43.2
65.6,31:43.4
63.8,31:43.6
64.8,31:43.9
64.2,31:44.1
64.8,31:44.3
64.1,31:44.5
65.1,31:44.7
63.5,31:44.9
65.4,31:45.1
64.4,31:45.3
66.3,31:45.5
66.2,31:45.7
65.5,31:46.0
65.9,31:46.2
67,31:46.4
66.9,31:46.6
67.7,31:46.8
67.5,31:47.0
68.1,31:47.2
68.1,31:47.4
69.1,31:47.6
69.3,31:47.8
69.2,31:48.1
69.1,31:48.3
68.6,31:48.5
68.5,31:48.7
68.5,31:48.9
68.4,31:49.1
68.5,31:49.3
69.2,31:49.5
68.3,31:49.7
69.5,31:49.9
68.2,31:50.2
69.3,31:50.4
69.2,31:50.6
69.6,31:50.8
69.8,31:51.0
69.4,31:51.2
69,31:51.4
69.7,31:51.6
69.6,31:51.8
69.5,31:52.0
71,31:52.3
70.8,31:52.5
71.1,31:52.7
71,31:52.9
71.2,31:53.1
70.8,31:53.3
70.6,31:53.5
70.6,31:53.7
69.9,31:53.9
72.2,31:54.1
72.6,31:54.4
72.4,31:54.6
72.8,31:54.8
71.5,31:55.0
72.4,31:55.2
72,31:55.4
72.1,31:55.6
72.7,31:55.8
71.7,31:56.0
71.2,31:56.2
73.4,31:56.5
71.5,31:56.7
73.4,31:56.9
73.1,31:57.1
71.9,31:57.3
72.7,31:57.5
72,31:57.7
71.4,31:57.9
72.8,31:58.1
72.2,31:58.3
73.3,31:58.6
72.6,31:58.8
72.9,31:59.0
72.5,31:59.2
73.6,31:59.4
72.3,31:59.6
72.7,31:59.8
71,32:00.0
72.1,32:00.2
71.5,32:00.4
70.7,32:00.7
71.5,32:00.9
72,32:01.1
73.4,32:01.3
72.7,32:01.5
73.4,32:01.7
74,32:01.9
73.3,32:02.1
72.9,32:02.3
73.7,32:02.5
75.1,32:02.8
72.6,32:03.0
73.4,32:03.2
73,32:03.4
74.2,32:03.6
73.1,32:03.8
74.7,32:04.0
72.5,32:04.2
74.3,32:04.4
72.3,32:04.6
73.1,32:04.9
72,32:05.1
73,32:05.3
72.6,32:05.5
72.2,32:05.7
73.3,32:05.9
71.8,32:06.1
72.8,32:06.3
73.3,32:06.5
73,32:06.7
73.7,32:07.0
72,32:07.2
74.1,32:07.4
72.9,32:07.6
72.7,32:07.8
73.6,32:08.0
72.6,32:08.2
74,32:08.4
73,32:08.6
74.3,32:08.8
73.8,32:09.1
73.7,32:09.3
73.6,32:09.5
73.3,32:09.7
73.3,32:09.9
72.7,32:10.1
70.6,32:10.3
71,32:10.5
70.8,32:10.7
69.4,32:10.9
71.1,32:11.2
70.9,32:11.4
68.9,32:11.6
72.1,32:11.8
71.6,32:12.0
72.3,32:12.2
73,32:12.4
73.9,32:12.6
73.3,32:12.8
73.8,32:13.0
73.6,32:13.3
74,32:13.5
74.3,32:13.7
73.5,32:13.9
73.2,32:14.1
73.3,32:14.3
74.5,32:14.5
73.4,32:14.7
74,32:14.9
73.4,32:15.1
74,32:15.4
74.1,32:15.6
74,32:15.8
74.3,32:16.0
73.8,32:16.2
75.2,32:16.4
73.8,32:16.6
74.8,32:16.8
73.9,32:17.0
75.5,32:17.2
73.9,32:17.5
74.8,32:17.7
73.7,32:17.9
74.4,32:18.1
74.9,32:18.3
74.3,32:18.5
75.8,32:18.7
73.6,32:18.9
75.1,32:19.1
74.7,32:19.3
74.8,32:19.6
74.2,32:19.8
75.5,32:20.0
74.5,32:20.2
74.7,32:20.4
74.1,32:20.6
74.4,32:20.8
74.8,32:21.0
73.9,32:21.2
74.9,32:21.4
73.8,32:21.7
74.7,32:21.9
73.5,32:22.1
74.7,32:22.3
74.3,32:22.5
71.9,32:22.7
70.7,32:22.9
69.3,32:23.1
69.7,32:23.3
68.9,32:23.5
68.3,32:23.8
70.1,32:24.0
78.5,32:24.2
69.5,32:24.4
68.6,32:24.6
70.4,32:24.8
70.7,32:25.0
69.2,32:25.2
70,32:25.4
69.8,32:25.6
70.4,32:25.9
69.8,32:26.1
69.5,32:26.3
69.3,32:26.5
69.2,32:26.7
70.7,32:26.9
70.5,32:27.1
71.1,32:27.3
71.6,32:27.5
70.7,32:27.7
70.8,32:28.0
69.1,32:28.2
68.6,32:28.4
69.2,32:28.6
70.7,32:28.8
71.9,32:29.0
70.9,32:29.2
70,32:29.4
69.1,32:29.6
68.4,32:29.8
68.8,32:30.1
67.4,32:30.3
67.4,32:30.5
69.3,32:30.7
71,32:30.9
72.2,32:31.1
69.8,32:31.3
69.1,32:31.5
68.8,32:31.7
69.3,32:31.9
69.2,32:32.2
69.9,32:32.4
69.3,32:32.6
69.5,32:32.8
70.1,32:33.0
70.3,32:33.2
69.8,32:33.4
69.6,32:33.6
68.9,32:33.8
70,32:34.0
72.3,32:34.3
73.4,32:34.5
72.7,32:34.7
73.8,32:34.9
73.4,32:35.1
73.3,32:35.3
74.2,32:35.5
75,32:35.7
73.9,32:35.9
70.5,32:36.1
72.4,32:36.4
72.9,32:36.6
73.1,32:36.8
73,32:37.0
73,32:37.2
72.4,32:37.4
72.5,32:37.6
73.5,32:37.8
70,32:38.0
70.1,32:38.2
69.7,32:38.5
69,32:38.7
68,32:38.9
67.1,32:39.1
68.1,32:39.3
67.9,32:39.5
68.1,32:39.7
68.7,32:39.9
69.8,32:40.1
69.8,32:40.3
69.4,32:40.6
68.9,32:40.8
68.6,32:41.0
69.2,32:41.2
68.4,32:41.4
